id,nome,partido
38,Comissão de Assuntos Econômicos,CAE
40,Comissão de Assuntos Sociais,CAS
2614,Comissão de Comunicação e Direito Digital,CCDD
34,"Comissão de Constituição, Justiça e Cidadania",CCJ
1363,"Comissão de Ciência, Tecnologia, Inovação e Informática",CCT
2617,Comissão de Defesa da Democracia,CDD
834,Comissão de Direitos Humanos e Legislação Participativa,CDH
2726,Subcomissão Temporária para debater a Convenção sobre os Aspectos Civis do Sequestro Internacional de Crianças,CDHHAIA
1306,Comissão de Desenvolvimento Regional e Turismo,CDR
47,Comissão de Educação e Cultura,CE
2615,Comissão de Esporte,CEsp
59,Comissão de Serviços de Infraestrutura,CI
2739,Subcomissão temporária para examinar a BR-319,CIBR319
50,Comissão de Meio Ambiente,CMA
446,Corregedoria Parlamentar,CORREG
2703,CPI das BETS,CPIBETS
2658,CPI da Violência Doméstica,CPIVD
1307,Comissão de Agricultura e Reforma Agrária,CRA
54,Comissão de Relações Exteriores e Defesa Nacional,CRE
2429,Comissão de Segurança Pública,CSP
1956,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",CTFC
1543,Ouvidoria do Senado Federal,OUVIDSF
1998,Plenário do Senado Federal,PLEN
1659,Procuradoria Especial da Mulher,PROMUL
448,Procuradoria Parlamentar,PROPAR
2638,Subcomissão Temporária para viabilizar o surgimento dos Juizados Especiais de Crimes Cibernéticos,CCDDJECC
2589,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,CEHV
2724,Subcomissão Temporária para acompanhamento dos preparativos para realização da COP 30,CMACOP30
2740,Comissão Temporária Externa para investigar a situação dos brasileiros na Bolívia,CTBOLÍVIA
2648,"Comissão Temporária Externa para verificar ""in loco"" a situação política e social do Estado Plurinacional da Bolívia",CTEBOLÍVIA
2641,Comissão Temporária Interna em Comemoração aos 200 anos da Confederação do Equador,CTI200CONFEQ
2745,Grupo de trabalho sobre regulamentação da mineração em terras indígenas.,GTMTI
2715,Comenda Ceci Cunha,CCC
770,Conselho do Diploma Bertha Lutz,CDBL
1713,Conselho da Comenda Dorina de Gouvêa Nowill,CDGN
1540,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,CDHC
2015,Comissão Diretora do Senado Federal,CDIR
2532,Conselho do Diploma Paul Singer,CDPS
445,Conselho de Ética e Decoro Parlamentar,CEDP
2392,Comenda de Incentivo à Caridade Chico Xavier,CICCX
2192,Comenda de Incentivo à Cultura Luís da Câmara Cascudo,CICLCC
2598,Comenda Missionários Daniel Berg e Gunnar Vingren,CMDG
1944,Conselho da Comenda do Mérito Esportivo,CME
2163,Comenda do Mérito Futebolístico Associação Chapecoense de Futebol,CMFC
2090,Comenda Nise Magalhães da Silveira,CNMS
2599,Comenda Rei Pelé,CRP
1750,Conselho da Comenda Senador Abdias Nascimento,CSAN
2427,Comenda Santa Dulce dos Pobres,CSDP
2708,Conselho do Selo Zumbi dos Palmares,CSZP
2145,Comenda Zilda Arns,CZA
1530,Conselho do Diploma José Ermírio de Moraes,DJEM
2551,Medalha de Mérito Educacional Darcy Ribeiro,MMEDR
2564,Medalha Maria Quitéria,MMQ
2469,Conselho do Prêmio Adoção Tardia - Gesto Redobrado de Cidadania,PAT
2390,Conselho do Prêmio Chico Mendes,PCMSF
2552,Prêmio de Eficiência Educacional Florestan Fernandes,PEEFF
2041,Conselho do Prêmio Jovem Empreendedor,PJE
1940,Conselho do Prêmio Jornalista Roberto Marinho de Mérito Jornalístico,PJRM
1546,Conselho do Projeto Jovem Senador,PJS
1617,Conselho do Prêmio Mérito Ambiental,PMA
1943,Conselho do Prêmio Senado Federal de História do Brasil,PSFHB
2643,Conselho do Prêmio Trânsito Seguro - Gesto Redobrado para o Futuro,PTS
2636,Subcomissão Permanente Municipalista,CAESM
2624,Subcomissão Permanente de Direitos das Pessoas com Doenças Raras,CASRARAS
2660,Subcomissão Permanente para debater a desigualdade e a exclusão digital no Brasil,CCDDEX
2770,Subcomissão Permanente para o Desenvolvimento Sustentável do Pantanal,CCTPANT
2684,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,CEEJA
2618,Subcomissão Permanente da Alfabetização na Idade Certa,CEIDCERTA
2723,Subcomissão Permanente do Bioma Cerrado,CMABIOCER
2591,Subcomissão Permanente do Bioma Pantanal.,CMABIOPAN
2621,Subcomissão Permanente de Defesa Cibernética,CREDC
449,,
1450,,
1664,,
1774,,
1775,,
2091,,
2301,,